PDS Main Category ID;PDS 2nd Level Category ID;"PDS Category ID
[one or more entries possible per cell]";PDS Category name;Icon Mapping;;Focus color;Default color
;;300-3200-0031;Temple;religious-place_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;300-3200-0032;Synagogue;religious-place_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;300-3200-0033;Ashram;religious-place_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;300-3200-0034;Mosque;religious-place_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;300-3200-0035;Shrine;religious-place_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;300-3200-0309;Other Place of Worship;religious-place_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;300-3200-0375;Gurdwara;religious-place_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;300-3200-0376;Pagoda;religious-place_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
350 Natural and Geographical;3500 Body of Water;350-3500-0233;Body of water;generic-point_solid_16px.svg;;$hds-poi-focus-water-undersea;$hds-poi-default-water-undersea
;;350-3500-0234;Reservoir;generic-point_solid_16px.svg;;$hds-poi-focus-water-undersea;$hds-poi-default-water-undersea
;;350-3500-0235;Waterfall;waterfall_solid_16px.svg;;$hds-poi-focus-water-undersea;$hds-poi-default-water-undersea
;;350-3500-0300;Bay-Harbor;harbor_solid_16px.svg;;$hds-poi-focus-water-undersea;$hds-poi-default-water-undersea
;;350-3500-0302;River;generic-point_solid_16px.svg;;$hds-poi-focus-water-undersea;$hds-poi-default-water-undersea
;;350-3500-0303;Canal;generic-point_solid_16px.svg;;$hds-poi-focus-water-undersea;$hds-poi-default-water-undersea
;;350-3500-0304;Lake;generic-point_solid_16px.svg;;$hds-poi-focus-water-undersea;$hds-poi-default-water-undersea
;3510 Mountain or Hill;350-3510-0236;Mountain or Hill;mountain_solid_16px.svg;;$hds-poi-focus-natural-geographical;$hds-poi-default-natural-geographical
;;350-3510-0237;Mountain Passes;mountain-pass_solid_16px.svg;;$hds-poi-focus-natural-geographical;$hds-poi-default-natural-geographical
;;350-3510-0238;Mountain Peaks;mountain_solid_16px.svg;;$hds-poi-focus-natural-geographical;$hds-poi-default-natural-geographical
;3520 Undersea Feature;350-3520-0224;Undersea Feature;generic-point_solid_16px.svg;;$hds-poi-focus-water-undersea;$hds-poi-default-water-undersea
;3522 Forest, Heath or Other Vegetation;350-3522-0239;Forest, Heath or Other Vegetation;nature_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;3550 Natural and Geographical;350-3550-0336;Natural and Geographical;nature_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
400 Transport;4000 Airport;400-4000-4580;Public Sports Airport;airport_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4000-4581;Airport;airport_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4000-4582;Airport Terminal;airport_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;4100 Public Transport;400-4100-0035;Train Station;train_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0036;Bus Station;bus_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0037;Underground Train-Subway;metro_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0038;Commuter Rail Station;rail-regional_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0039;Commuter Train;rail-regional_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0040;Public Transit Access;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0041;Transportation Service;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0042;Bus Stop;bus_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0043;Local Transit;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0044;Ferry Terminal;ferry_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0045;Boat Ferry;ferry_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0046;Rail Ferry;ferry_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0047;Taxi Stand;taxi_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0226;Highway Exit;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0326;Tollbooth;toll-booth_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0337;Lightrail;rail-light_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0338;Water Transit;ferry_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0339;Monorail;monorail_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0340;Aerial Tramway;cable-way_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0341;Bus Rapid Transit;bus_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0342;Inclined Rail;inclined_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0347;Bicycle Sharing Location;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4100-0348;Bicycle Parking;parking-bicycle_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;4200 Cargo Transportation;400-4200-0048;Weigh Station;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4200-0049;Cargo Center;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4200-0050;Rail Yard;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4200-0051;Seaport-Harbour;harbor_solid_16px.svg;;$hds-poi-focus-water-undersea;$hds-poi-default-water-undersea
;;400-4200-0052;Airport Cargo;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4200-0240;Couriers;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4200-0241;Cargo Transportation;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4200-0311;Delivery Entrance;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4200-0312;Loading Dock;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;400-4200-0313;Loading Zone;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;4300 Rest Area;400-4300-0000;Rest Area;picnic-area_solid_16px.svg;;$hds-poi-focus-parking;$hds-poi-default-parking
;;400-4300-0199;Complete Rest Area;picnic-area_solid_16px.svg;;$hds-poi-focus-parking;$hds-poi-default-parking
;;400-4300-0200;Parking and Restroom Only Rest Area;picnic-area_solid_16px.svg;;$hds-poi-focus-parking;$hds-poi-default-parking
;;400-4300-0201;Parking Only Rest Area;picnic-area_solid_16px.svg;;$hds-poi-focus-parking;$hds-poi-default-parking
;;400-4300-0202;Motorway Service Rest Area;picnic-area_solid_16px.svg;;$hds-poi-focus-parking;$hds-poi-default-parking
;;400-4300-0308;Scenic Overlook Rest Area;nature-overlook_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
500 Accomodations;5000 Hotel-Motel;500-5000-0000;Hotel or Motel;hotel_solid_16px.svg;;$hds-poi-focus-accomodation;$hds-poi-default-accomodation
;;500-5000-0053;Hotel;hotel_solid_16px.svg;;$hds-poi-focus-accomodation;$hds-poi-default-accomodation
;;500-5000-0054;Motel;hotel_solid_16px.svg;;$hds-poi-focus-accomodation;$hds-poi-default-accomodation
;5100 Lodging;500-5100-0000;Lodging;hotel_solid_16px.svg;;$hds-poi-focus-accomodation;$hds-poi-default-accomodation
;;500-5100-0055;Hostel;hotel_solid_16px.svg;;$hds-poi-focus-accomodation;$hds-poi-default-accomodation
;;500-5100-0056;Campground;camping_solid_16px.svg;;$hds-poi-focus-accomodation;$hds-poi-default-accomodation
;;500-5100-0057;Guest House;hotel_solid_16px.svg;;$hds-poi-focus-accomodation;$hds-poi-default-accomodation
;;500-5100-0058;Bed and Breakfast;hotel_solid_16px.svg;;$hds-poi-focus-accomodation;$hds-poi-default-accomodation
;;500-5100-0059;Holiday Park;hotel_solid_16px.svg;;$hds-poi-focus-accomodation;$hds-poi-default-accomodation
;;500-5100-0060;Short-Time Motel;hotel_solid_16px.svg;;$hds-poi-focus-accomodation;$hds-poi-default-accomodation
;;500-5100-0061;Ryokan;hotel_solid_16px.svg;;$hds-poi-focus-accomodation;$hds-poi-default-accomodation
550 Leisure and Outdoor;5510 Outdoor-Recreation;550-5510-0000;Outdoor-Recreation;nature_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0202;Park-Recreation Area;nature_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0203;Sports Field;generic-point_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0204;Garden;nature_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0205;Beach;beach_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0206;Recreation Center;generic-point_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0227;Ski Lift;ski-run_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0242;Scenic Point;nature-overlook_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0358;Off Road Trailhead;generic-point_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0359;Trailhead;generic-point_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0374;Off-Road Vehicle Area;generic-point_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0378;Campsite;camping_solid_16px.svg;;$hds-poi-focus-accomodation;$hds-poi-default-accomodation
;;550-5510-0379;Outdoor Service;generic-point_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0380;Ranger Station;generic-point_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5510-0387;Bicycle Service;generic-point_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;5520 Leisure;550-5520-0000;Leisure;amusement-park_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5520-0207;Amusement Park;amusement-park_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5520-0208;Zoo;zoo_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5520-0209;Wild Animal Park;zoo_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5520-0210;Wildlife Refuge;generic-point_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5520-0211;Aquarium;attraction_solid_16px.svg;;$hds-poi-focus-sights-museum;$hds-poi-default-sights-museum
;;550-5520-0212;Ski Resort;ski-run_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5520-0228;Animal Park;zoo_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;550-5520-0357;Water Park;generic-point_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
600 Shopping;6000 Convenience Store;600-6000-0061;Convenience Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;6100 Mall-ShoppingComplex;600-6100-0062;Shopping Mall;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;6200 Department Store;600-6200-0063;Department Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;6300 Food and Drink;600-6300-0064;Food-Beverage Specialty Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6300-0066;Grocery;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6300-0067;Specialty Food Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6300-0068;Wine and Liquor;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6300-0244;Bakery and Baked Goods Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6300-0245;Sweet Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6300-0246;Doughnut Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6300-0363;Butcher;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6300-0364;Dairy Goods;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;6400 Drugstore or Pharmacy;600-6400-0000;Drugstore or Pharmacy;pharmacy_solid_16px.svg;;$hds-poi-focus-emergency;$hds-poi-default-emergency
;;600-6400-0069;Drugstore;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6400-0070;Pharmacy;pharmacy_solid_16px.svg;;$hds-poi-focus-emergency;$hds-poi-default-emergency
;6500 Electronics;600-6500-0072;Consumer Electronics Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6500-0073;Mobile Retailer;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6500-0074;Mobile Service Center;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6500-0075;Computer and Software;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6500-0076;Entertainment Electronics;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;6600 Hardware, House and Garden;600-6600-0000;Hardware, House and Garden;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6600-0077;Home Improvement;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6600-0078;Home Specialty Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6600-0079;Floor and Carpet;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6600-0080;Furniture Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6600-0082;Garden Center;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6600-0083;Glass and Window;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6600-0084;Lumber;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6600-0085;Major Appliance;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6600-0310;Power Equipment Dealer;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6600-0319;Paint Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;6700 Bookstore;600-6700-0000;Other Bookshop;bookstore_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6700-0087;Bookstore;bookstore_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;6800 Clothing and Accessories;600-6800-0000;Clothing and Accessories;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6800-0089;Men's Apparel;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6800-0090;Women's Apparel;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6800-0091;Children's Apparel;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6800-0092;Shoes-Footwear;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6800-0093;Specialty Clothing Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;6900 Consumer Goods;600-6900-0000;Consumer Goods;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0094;Sporting Goods Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0095;Office Supply and Services Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0096;Specialty Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0097;Pet Supply;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0098;Warehouse-Wholesale Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0099;General Merchandise;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0100;Discount Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0101;Flowers and Jewelry;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0102;Variety Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0103;Gift, Antique and Art;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0105;Record, CD and Video;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0106;Video and Game Rental;generic-point_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0107;Cigar and Tobacco Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0108;Vaping Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0246;Bicycle and Bicycle Accessories Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0247;Market;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0248;Motorcycle Accessories;generic-point_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0249;Non-Store Retailers;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0250;Pawnshop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0251;Used-Second Hand Merchandise Stores;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0305;Adult Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0307;Arts and Crafts Supplies;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0355;Florist;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0356;Jeweler;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0358;Toy Store;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0388;Hunting-Fishing Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0389;Running-Walking Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0390;Skate Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0391;Ski Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0392;Snowboard Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0393;Surf Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0394;BMX Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0395;Camping-Hiking Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0396;Canoe-Kayak Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
